"","profile","Park","year","euc_dist_to_BP"
"397",30,"Leadbetter Beach","11",1204.87294518964
"398",30,"Leadbetter Beach","12",1266.62195820222
"399",30,"Leadbetter Beach","13",1254.95399924657
"400",30,"Leadbetter Beach","14",1247.63149673691
"401",30,"Leadbetter Beach","15",1205.1860533233
"402",30,"Leadbetter Beach","16",1235.66939782653
"403",30,"Leadbetter Beach","17",1204.29717621938
"404",30,"Leadbetter Beach","18",1207.85244020121
"405",30,"Leadbetter Beach","19",1221.76048214246
"406",33,"Pacific Pines","97",1008.04278292144
"407",33,"Pacific Pines","98",1029.33010764284
"408",33,"Pacific Pines","99",1052.10098323545
"409",33,"Pacific Pines","00",1055.51318083909
"410",33,"Pacific Pines","01",1053.73147818836
"411",33,"Pacific Pines","02",1072.58823667332
"412",33,"Pacific Pines","03",1072.89688280141
"413",33,"Pacific Pines","04",1106.10508164913
"414",33,"Pacific Pines","05",1068.29206404429
"415",33,"Pacific Pines","06",1104.6625209538
"416",33,"Pacific Pines","07",1070.80156373627
"417",33,"Pacific Pines","08",1056.71031815724
"418",33,"Pacific Pines","09",1065.23464266096
"419",33,"Pacific Pines","10",1076.44727889944
"420",33,"Pacific Pines","11",1110.59500072034
"421",33,"Pacific Pines","12",1137.4709434201
"422",33,"Pacific Pines","13",1135.94179604415
"423",33,"Pacific Pines","14",1109.93652513333
"424",33,"Pacific Pines","15",1085.84094162082
"425",33,"Pacific Pines","16",1111.09095923781
"426",33,"Pacific Pines","17",1095.47201283283
"427",33,"Pacific Pines","18",1100.40012523854
"428",33,"Pacific Pines","19",1110.05065403568
"429",33,"Pacific Pines","20",1104.48150777866
"430",35,"Loomis Lake","97",1323.93075863128
"431",35,"Loomis Lake","98",1342.42592388741
"432",35,"Loomis Lake","99",1420.29215735707
"433",35,"Loomis Lake","00",1380.72866505333
"434",35,"Loomis Lake","01",1377.74338054115
"435",35,"Loomis Lake","02",1370.41713084007
"436",35,"Loomis Lake","03",1406.41811575539
"437",35,"Loomis Lake","04",1425.10850290425
"438",35,"Loomis Lake","05",1375.80318814137
"439",35,"Loomis Lake","06",1433.96660460589
"440",35,"Loomis Lake","07",1386.11333945854
"441",35,"Loomis Lake","08",1372.15043640446
"442",35,"Loomis Lake","09",1422.55417862553
"443",35,"Loomis Lake","10",1401.82812159691
"444",35,"Loomis Lake","11",1399.78428521146
"445",35,"Loomis Lake","12",1415.65207880503
"446",35,"Loomis Lake","13",1452.98689871071
"447",35,"Loomis Lake","14",1446.11326092566
"448",35,"Loomis Lake","15",1441.98942337486
"449",35,"Loomis Lake","16",1434.5668654423
"450",35,"Loomis Lake","17",1390.77097611358
"451",35,"Loomis Lake","18",1432.36148065003
"452",35,"Loomis Lake","19",1431.11231052108
"453",35,"Loomis Lake","20",1407.83025825204
"454",35,"Loomis Lake","21",1426.43129260577
"455",35,"Loomis Lake","22",1478.99170290101
"456",41,"Cape Disappointment","97",944.908171318772
"457",41,"Cape Disappointment","98",942.293659455475
"458",41,"Cape Disappointment","99",921.458233304684
"459",41,"Cape Disappointment","00",945.041535396716
"460",41,"Cape Disappointment","01",980.880437324036
"461",41,"Cape Disappointment","02",963.882437398364
"462",41,"Cape Disappointment","03",953.033945631022
"463",41,"Cape Disappointment","04",945.913136101853
"464",41,"Cape Disappointment","05",921.343741743549
"465",41,"Cape Disappointment","06",945.587799625199
"466",41,"Cape Disappointment","07",950.208306057145
"467",41,"Cape Disappointment","08",912.491343863037
"468",41,"Cape Disappointment","09",924.685741995635
"469",41,"Cape Disappointment","10",906.142460612559
"470",41,"Cape Disappointment","11",923.485170102934
"471",41,"Cape Disappointment","12",936.184596393799
"472",41,"Cape Disappointment","13",934.245820555294
"473",41,"Cape Disappointment","14",926.433703105636
"474",41,"Cape Disappointment","15",940.479646045058
"475",41,"Cape Disappointment","16",940.768393827628
"476",41,"Cape Disappointment","17",876.027057858386
"477",41,"Cape Disappointment","18",899.311162001223
"478",41,"Cape Disappointment","19",931.256769961951
"479",41,"Cape Disappointment","20",907.595625402634
"480",41,"Cape Disappointment","21",896.32364647208
"481",41,"Cape Disappointment","22",894.170267636427
"482",48,"Ocean City","99",410.86003726937
"483",48,"Ocean City","00",480.630275211614
"484",48,"Ocean City","01",486.614186625281
"485",48,"Ocean City","02",515.382433950763
"486",48,"Ocean City","03",525.681832979782
"487",48,"Ocean City","04",477.470947414608
"488",48,"Ocean City","05",549.10150457363
"489",48,"Ocean City","06",500.454998301574
"490",48,"Ocean City","07",515.715689818529
"491",48,"Ocean City","08",537.639153382649
"492",48,"Ocean City","09",530.687426740084
"493",48,"Ocean City","10",501.914212042261
"494",48,"Ocean City","11",568.416388794351
"495",48,"Ocean City","12",565.296460496604
"496",48,"Ocean City","13",566.213243619394
"497",48,"Ocean City","14",578.166401760796
"498",48,"Ocean City","15",570.80959980102
"499",48,"Ocean City","16",570.757749071353
"500",48,"Ocean City","17",553.535404761981
"501",48,"Ocean City","18",537.862147766527
"502",48,"Ocean City","19",577.261402875661
"503",52,"Cape Disappointment","05",622.657672642055
"504",52,"Cape Disappointment","06",612.180554452691
"505",52,"Cape Disappointment","07",609.005235055494
"506",52,"Cape Disappointment","08",631.045799863205
"507",52,"Cape Disappointment","09",615.562581099604
"508",52,"Cape Disappointment","10",613.204458337497
"509",52,"Cape Disappointment","11",609.424571296541
"510",52,"Cape Disappointment","12",600.801281040584
"511",52,"Cape Disappointment","13",639.82298278507
"512",52,"Cape Disappointment","14",616.250227038501
"513",52,"Cape Disappointment","15",643.562654603252
"514",52,"Cape Disappointment","16",635.742639457976
"515",52,"Cape Disappointment","17",574.132385169142
"516",52,"Cape Disappointment","18",594.78787926873
"517",52,"Cape Disappointment","19",567.099983424431
"518",53,"Cape Disappointment","05",1135.98761530443
"519",53,"Cape Disappointment","06",1157.13733886693
"520",53,"Cape Disappointment","07",1085.9686286445
"521",53,"Cape Disappointment","08",1065.12434162639
"522",53,"Cape Disappointment","09",1090.85561635121
"523",53,"Cape Disappointment","10",1090.83059970372
"524",53,"Cape Disappointment","11",1090.19278539395
"525",53,"Cape Disappointment","12",1130.78490037895
"526",53,"Cape Disappointment","13",1137.07224102076
"527",53,"Cape Disappointment","14",1152.411348521
"528",53,"Cape Disappointment","15",1101.24190504404
"529",53,"Cape Disappointment","16",1036.73276356543
"530",53,"Cape Disappointment","17",1026.08824008952
"531",53,"Cape Disappointment","18",1055.85297994087
"532",53,"Cape Disappointment","19",1047.48903559895
"533",54,"Cape Disappointment","05",1019.18895020747
"534",54,"Cape Disappointment","06",1056.83499776454
"535",54,"Cape Disappointment","07",1005.58088159281
"536",54,"Cape Disappointment","08",975.161542322591
"537",54,"Cape Disappointment","09",999.814217804992
"538",54,"Cape Disappointment","10",974.025648584258
"539",54,"Cape Disappointment","11",1032.28324365213
"540",54,"Cape Disappointment","12",1046.24500326164
"541",54,"Cape Disappointment","13",1029.27518761988
"542",54,"Cape Disappointment","14",1018.93262510333
"543",54,"Cape Disappointment","15",1032.25901180373
"544",54,"Cape Disappointment","16",966.537165038141
"545",54,"Cape Disappointment","17",940.202639235267
"546",54,"Cape Disappointment","18",982.085506066013
"547",54,"Cape Disappointment","19",948.754586418414
